,Tm,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year
1,Brooklyn Nets,7.0,5.0,0.583,8,4,116.1,109.6,6.5,96.1,0.235,0.413,0.592,,0.551,10.9,19.7,0.204,,0.502,11.6,75.0,0.19,2021
2,Milwaukee Bucks,16.0,7.0,0.696,15,8,112.9,107.6,5.3,96.9,0.228,0.384,0.55,,0.524,11.3,27.8,0.164,,0.523,12.2,81.6,0.16,2021
3,Phoenix Suns,14.0,8.0,0.636,14,8,114.7,110.0,4.7,95.1,0.219,0.35,0.585,,0.547,11.3,19.6,0.188,,0.507,10.9,76.1,0.194,2021
4,Los Angeles Clippers,10.0,9.0,0.526,12,7,120.2,115.9,4.3,92.8,0.29,0.444,0.604,,0.562,10.4,21.5,0.238,,0.543,11.1,76.9,0.173,2021
5,Utah Jazz,6.0,5.0,0.545,5,6,121.4,122.3,-0.9,96.3,0.288,0.518,0.616,,0.579,12.4,23.7,0.231,,0.562,9.6,76.7,0.208,2021
6,Portland Trail Blazers,2.0,4.0,0.333,3,3,121.6,122.9,-1.3,95.0,0.257,0.443,0.608,,0.567,10.7,22.2,0.219,,0.555,9.9,73.5,0.216,2021
7,Atlanta Hawks,10.0,8.0,0.556,8,10,109.8,111.3,-1.5,96.8,0.241,0.394,0.554,,0.516,11.5,20.9,0.192,,0.52,11.6,75.0,0.197,2021
8,Dallas Mavericks,3.0,4.0,0.429,2,5,115.5,121.1,-5.6,91.8,0.233,0.407,0.559,,0.534,10.4,23.7,0.164,,0.571,10.9,77.4,0.246,2021
9,Denver Nuggets,4.0,6.0,0.4,3,7,116.8,122.4,-5.6,96.3,0.227,0.418,0.566,,0.536,9.9,25.1,0.172,,0.576,10.6,79.6,0.223,2021
10,Los Angeles Lakers,2.0,4.0,0.333,2,4,104.0,110.9,-6.9,93.8,0.295,0.396,0.52,,0.473,12.9,23.7,0.229,,0.53,12.1,80.3,0.212,2021
11,New York Knicks,1.0,4.0,0.2,1,4,103.5,111.0,-7.5,93.7,0.252,0.352,0.505,,0.458,11.3,24.6,0.206,,0.519,10.4,81.2,0.189,2021
12,Memphis Grizzlies,1.0,4.0,0.2,1,4,115.6,124.0,-8.4,99.5,0.216,0.335,0.556,,0.523,9.1,23.8,0.172,,0.586,12.2,75.4,0.257,2021
13,Boston Celtics,1.0,4.0,0.2,1,4,117.1,128.7,-11.6,95.8,0.311,0.415,0.56,,0.508,11.5,28.8,0.256,,0.582,10.6,73.5,0.296,2021
14,Washington Wizards,1.0,4.0,0.2,1,4,107.6,121.3,-13.7,102.2,0.327,0.273,0.543,,0.498,11.7,23.1,0.246,,0.575,10.3,77.4,0.234,2021
15,Miami Heat,0.0,4.0,0.0,0,4,96.6,116.8,-20.2,98.9,0.227,0.401,0.499,,0.462,12.5,17.1,0.174,,0.538,12.6,68.6,0.177,2021
0,Golden State Warriors,16.0,6.0,0.727,14,8,115.2,110.0,5.2,97.1,0.23,0.433,0.59,,0.561,13.3,23.6,0.176,,0.522,12.7,77.5,0.205,2022
1,Miami Heat,11.0,7.0,0.611,11,7,110.6,106.6,4.0,94.2,0.253,0.408,0.55,,0.509,12.0,23.3,0.203,,0.52,14.9,79.4,0.251,2022
2,Boston Celtics,14.0,10.0,0.583,15,9,110.7,107.0,3.7,95.3,0.283,0.448,0.574,,0.533,13.8,21.9,0.226,,0.501,12.3,76.9,0.181,2022
3,Memphis Grizzlies,6.0,6.0,0.5,7,5,110.2,107.8,2.4,102.1,0.297,0.392,0.545,,0.507,11.9,25.8,0.218,,0.53,15.6,77.7,0.211,2022
4,Milwaukee Bucks,7.0,5.0,0.583,7,5,104.4,102.8,1.6,98.5,0.236,0.367,0.529,,0.498,12.4,21.6,0.172,,0.499,11.9,83.8,0.168,2022
5,Dallas Mavericks,9.0,9.0,0.5,9,9,114.9,114.1,0.8,92.6,0.289,0.513,0.584,,0.546,10.1,15.7,0.223,,0.539,12.8,74.7,0.214,2022
6,Philadelphia 76ers,6.0,6.0,0.5,6,6,112.3,112.0,0.3,92.2,0.29,0.426,0.592,,0.545,14.3,20.4,0.246,,0.512,11.0,75.8,0.207,2022
7,Phoenix Suns,7.0,6.0,0.538,6,7,115.6,116.7,-1.1,93.1,0.229,0.328,0.591,,0.557,12.7,24.2,0.187,,0.539,12.2,73.8,0.237,2022
8,New Orleans Pelicans,2.0,4.0,0.333,3,3,117.6,119.2,-1.6,93.4,0.342,0.312,0.566,,0.518,13.0,35.0,0.267,,0.575,10.7,80.3,0.193,2022
9,Brooklyn Nets,0.0,4.0,0.0,1,3,116.3,121.1,-4.8,93.8,0.33,0.349,0.61,,0.577,14.6,23.0,0.244,,0.562,12.9,69.9,0.223,2022
10,Minnesota Timberwolves,2.0,4.0,0.333,2,4,106.4,111.8,-5.4,102.6,0.341,0.435,0.579,,0.527,15.8,17.1,0.276,,0.519,13.6,72.5,0.268,2022
11,Utah Jazz,2.0,4.0,0.333,2,4,108.8,115.0,-6.2,91.0,0.335,0.378,0.546,,0.495,11.5,22.8,0.264,,0.54,8.7,85.5,0.217,2022
12,Denver Nuggets,1.0,4.0,0.2,1,4,113.6,121.8,-8.2,96.9,0.304,0.379,0.586,,0.543,14.9,28.0,0.242,,0.608,12.2,81.4,0.23,2022
13,Toronto Raptors,2.0,4.0,0.333,2,4,111.2,120.2,-9.0,91.2,0.244,0.382,0.542,,0.503,9.5,23.0,0.194,,0.576,14.0,76.7,0.275,2022
14,Atlanta Hawks,1.0,4.0,0.2,1,4,102.3,114.9,-12.6,95.2,0.281,0.448,0.554,,0.513,15.7,21.3,0.22,,0.542,12.2,79.0,0.194,2022
15,Chicago Bulls,1.0,4.0,0.2,1,4,94.9,109.4,-14.5,100.3,0.16,0.408,0.493,,0.461,11.9,15.8,0.133,,0.553,13.9,81.4,0.17,2022
